article_id,article_version,url_type_id,url_id,"url","url_name",sort_order,last_updated,"url_description"
52500,44,3,3,"http://","",3,2025-03-25 17:51:12.050000000,""
52500,44,4,4,"http://","",4,2025-03-25 17:51:12.053000000,""
52501,47,1,1,"http://","",1,2024-11-26 12:52:37.463000000,""
52501,47,2,2,"http://","",2,2024-11-26 12:52:37.467000000,""
52501,47,3,3,"http://","",3,2024-11-26 12:52:37.470000000,""
52501,47,4,4,"http://","",4,2024-11-26 12:52:37.470000000,""
52502,20,1,1,"http://","",1,2022-04-07 16:49:20.803000000,""
52502,20,2,2,"http://","",2,2022-04-07 16:49:20.890000000,""
52502,20,3,3,"http://","",3,2022-04-07 16:49:21,""
52502,20,4,4,"http://","",4,2022-04-07 16:49:21.050000000,""
52503,23,1,1,"http://","",1,2024-04-26 14:00:45.747000000,""
52503,23,2,2,"http://","",2,2024-04-26 14:00:45.747000000,""
52503,23,3,3,"http://","",3,2024-04-26 14:00:45.750000000,""
52503,23,4,4,"http://","",4,2024-04-26 14:00:45.750000000,""
52504,55,1,1,"http://","",1,2025-03-25 17:58:42.040000000,""
52504,55,2,2,"http://","",2,2025-03-25 17:58:42.040000000,""
52504,55,3,3,"http://","",3,2025-03-25 17:58:42.047000000,""
52504,55,4,4,"http://","",4,2025-03-25 17:58:42.050000000,""
52505,77,1,1,"http://","",1,2025-09-23 19:55:53.060000000,""
52505,77,2,2,"http://","",2,2025-09-23 19:55:53.067000000,""
52505,77,3,3,"http://","",3,2025-09-23 19:55:53.070000000,""
52505,77,4,4,"http://","",4,2025-09-23 19:55:53.083000000,""
52507,146,1,1,"http://","",1,2025-08-14 19:48:46.797000000,""
52507,146,2,2,"http://","",2,2025-08-14 19:48:46.800000000,""
52507,146,3,3,"http://","",3,2025-08-14 19:48:46.807000000,""
52507,146,4,4,"http://","",4,2025-08-14 19:48:46.810000000,""
52508,39,1,1,"http://","",1,2022-04-07 12:33:09.550000000,""
52508,39,2,2,"http://","",2,2022-04-07 12:33:09.560000000,""
52508,39,3,3,"http://","",3,2022-04-07 12:33:09.573000000,""
52508,39,4,4,"http://","",4,2022-04-07 12:33:09.587000000,""
52509,61,1,1,"http://","",1,2025-05-15 19:51:55.580000000,""
52509,61,2,2,"http://","",2,2025-05-15 19:51:55.603000000,""
52509,61,3,3,"http://","",3,2025-05-15 19:51:55.613000000,""
52509,61,4,4,"http://","",4,2025-05-15 19:51:55.630000000,""
52510,61,1,1,"http://","",1,2025-09-12 13:51:39.197000000,""
52510,61,2,2,"http://","",2,2025-09-12 13:51:39.200000000,""
52510,61,3,3,"http://","",3,2025-09-12 13:51:39.203000000,""
52510,61,4,4,"http://","",4,2025-09-12 13:51:39.207000000,""
52511,28,1,1,"http://","",1,2022-04-07 12:40:02.123000000,""
52511,28,2,2,"http://","",2,2022-04-07 12:40:02.133000000,""
52511,28,3,3,"http://","",3,2022-04-07 12:40:02.137000000,""
52511,28,4,4,"http://","",4,2022-04-07 12:40:02.143000000,""
52512,46,1,1,"http://","",1,2024-05-09 18:55:43.157000000,""
52512,46,2,2,"http://","",2,2024-05-09 18:55:43.157000000,""
52512,46,3,3,"http://","",3,2024-05-09 18:55:43.160000000,""
52512,46,4,4,"http://","",4,2024-05-09 18:55:43.160000000,""
52513,43,1,1,"http://","",1,2024-09-05 18:55:51.490000000,""
52513,43,2,2,"http://","",2,2024-09-05 18:55:51.493000000,""
52513,43,3,3,"http://","",3,2024-09-05 18:55:51.497000000,""
52513,43,4,4,"http://","",4,2024-09-05 18:55:51.500000000,""
52514,61,1,1,"http://","",1,2024-05-09 18:59:28.460000000,""
52514,61,2,2,"http://","",2,2024-05-09 18:59:28.460000000,""
52514,61,3,3,"http://","",3,2024-05-09 18:59:28.463000000,""
52514,61,4,4,"http://","",4,2024-05-09 18:59:28.470000000,""
52516,26,1,1,"http://","",1,2023-09-20 13:41:37.460000000,""
52516,26,2,2,"http://","",2,2023-09-20 13:41:37.460000000,""
52516,26,3,3,"http://","",3,2023-09-20 13:41:37.463000000,""
52516,26,4,4,"http://","",4,2023-09-20 13:41:37.463000000,""
52517,50,1,1,"http://","",1,2025-10-03 14:40:04.813000000,""
52517,50,2,2,"http://","",2,2025-10-03 14:40:04.817000000,""
52517,50,3,3,"http://","",3,2025-10-03 14:40:04.820000000,""
52517,50,4,4,"http://","",4,2025-10-03 14:40:04.820000000,""
52518,36,1,1,"http://","",1,2023-05-11 16:30:31.980000000,""
52518,36,2,2,"http://","",2,2023-05-11 16:30:31.990000000,""
52518,36,3,3,"http://","",3,2023-05-11 16:30:32,""
52518,36,4,4,"http://","",4,2023-05-11 16:30:32.010000000,""
52519,39,1,1,"http://","",1,2024-05-09 18:57:25.723000000,""
52519,39,2,2,"http://","",2,2024-05-09 18:57:25.730000000,""
52519,39,3,3,"http://","",3,2024-05-09 18:57:25.740000000,""
52519,39,4,4,"http://","",4,2024-05-09 18:57:25.750000000,""
52520,31,1,1,"http://","",1,2022-11-11 14:43:17.460000000,""
52520,31,2,2,"http://","",2,2022-11-11 14:43:17.463000000,""
52520,31,3,3,"http://","",3,2022-11-11 14:43:17.463000000,""
52520,31,4,4,"http://","",4,2022-11-11 14:43:17.467000000,""
52521,48,1,1,"http://","",1,2025-04-03 16:22:40.407000000,""
52521,48,2,2,"http://","",2,2025-04-03 16:22:40.407000000,""
52521,48,3,3,"http://","",3,2025-04-03 16:22:40.410000000,""
52521,48,4,4,"http://","",4,2025-04-03 16:22:40.440000000,""
52527,84,1,1,"http://","",1,2025-06-16 12:17:43.507000000,""
52527,84,2,2,"http://","",2,2025-06-16 12:17:43.507000000,""
52527,84,3,3,"http://","",3,2025-06-16 12:17:43.510000000,""
52535,13,1,1,"http://","",1,2025-07-31 18:29:51.143000000,""
52535,13,2,2,"http://","",2,2025-07-31 18:29:51.150000000,""
52535,13,3,3,"http://","",3,2025-07-31 18:29:51.153000000,""
52535,13,4,4,"http://","",4,2025-07-31 18:29:51.157000000,""
52537,11,1,1,"http://","",1,2023-12-29 17:39:23.197000000,""
52537,11,2,2,"http://","",2,2023-12-29 17:39:23.200000000,""
52537,11,3,3,"http://","",3,2023-12-29 17:39:23.203000000,""
52537,11,4,4,"http://","",4,2023-12-29 17:39:23.213000000,""
52571,136,1,1,"http://","",1,2025-09-11 19:05:39.830000000,""
52571,136,2,2,"http://","",2,2025-09-11 19:05:39.833000000,""
52571,136,3,3,"http://","",3,2025-09-11 19:05:39.837000000,""
52711,22,1,1,"http://","",1,2022-04-07 21:46:31.160000000,""
52711,22,2,2,"http://","",2,2022-04-07 21:46:31.163000000,""
52711,22,3,3,"http://","",3,2022-04-07 21:46:31.163000000,""
52711,22,4,4,"http://","",4,2022-04-07 21:46:31.170000000,""
52712,25,1,1,"http://","",1,2022-04-07 21:47:16.283000000,""
52712,25,2,2,"http://","",2,2022-04-07 21:47:16.290000000,""
52712,25,3,3,"http://","",3,2022-04-07 21:47:16.297000000,""
52712,25,4,4,"http://","",4,2022-04-07 21:47:16.300000000,""
52713,18,1,1,"http://","",1,2022-04-07 14:00:02.617000000,""
52713,18,2,2,"http://","",2,2022-04-07 14:00:02.633000000,""
52713,18,3,3,"http://","",3,2022-04-07 14:00:02.650000000,""
52713,18,4,4,"http://","",4,2022-04-07 14:00:02.667000000,""
52725,36,1,1,"http://","",1,2025-09-25 15:59:31.907000000,""
52725,36,2,2,"http://","",2,2025-09-25 15:59:31.910000000,""
52725,36,3,3,"http://","",3,2025-09-25 15:59:31.913000000,""
52725,36,4,4,"http://","",4,2025-09-25 15:59:31.917000000,""
52770,28,1,1,"http://","",1,2023-11-08 19:06:14.397000000,""
52770,28,2,2,"http://","",2,2023-11-08 19:06:14.400000000,""
52770,28,3,3,"http://","",3,2023-11-08 19:06:14.400000000,""
52770,28,4,4,"http://","",4,2023-11-08 19:06:14.403000000,""
52800,92,1,1,"http://","",1,2025-06-17 19:12:11.013000000,""
52800,92,2,2,"http://","",2,2025-06-17 19:12:11.020000000,""
52800,92,3,3,"http://","",3,2025-06-17 19:12:11.023000000,""
52825,11,1,1,"http://","",1,2024-01-16 14:52:38.173000000,""
52825,11,2,2,"http://","",2,2024-01-16 14:52:38.177000000,""
52825,11,3,3,"http://","",3,2024-01-16 14:52:38.180000000,""
52825,11,4,4,"http://","",4,2024-01-16 14:52:38.180000000,""
52830,7,1,1,"http://","",1,2019-11-08 18:57:38.770000000,""
52830,7,2,2,"http://","",2,2019-11-08 18:57:38.770000000,""
52830,7,3,3,"http://","",3,2019-11-08 18:57:38.773000000,""
52830,7,4,4,"http://","",4,2019-11-08 18:57:38.773000000,""
52837,20,1,1,"http://","",1,2024-12-19 15:52:55.500000000,""
52837,20,2,2,"http://","",2,2024-12-19 15:52:55.570000000,""
52837,20,3,3,"http://","",3,2024-12-19 15:52:55.577000000,""
52837,20,4,4,"http://","",4,2024-12-19 15:52:55.670000000,""
52841,3,1,1,"http://","",1,2016-09-22 21:24:08.937000000,""
52841,3,2,2,"http://","",2,2016-09-22 21:24:08.937000000,""
52841,3,3,3,"http://","",3,2016-09-22 21:24:08.940000000,""
